Name,Date,Body weight,Shape,Sleep,Calories,Stress
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,2,reps,10,weight,240
"Exercise, Hack Squat Sissy Squat ",Set,1,reps,10,weight,10
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,2,reps,9,weight,10
"Exercise, Slight Incline Supine Cable Y Raises",Set,1,reps,11,weight,15
Instance of 'Loc'
"Exercise, Slight Incline Supine Cable Y Raises",Set,2,reps,10,weight,15
"Exercise, Low to High Cable Fly ",Set,1,reps,11,weight,25
Instance of 'Loc'
"Exercise, Low to High Cable Fly ",Set,2,reps,10,weight,20

"JP - Block 5: Week 1, Workout 3",2024-12-28,85.2,7,6,6,5
"Exercise, Bench Press",Set,1,reps,2,weight,120
Instance of 'Loc'
"Exercise, Bench Press",Set,2,reps,7,weight,92.5
Instance of 'Loc'
"Exercise, Machine Lat Pulldown",Set,1,reps,13,weight,70
Instance of 'Loc'
"Exercise, Machine Lat Pulldown",Set,2,reps,11,weight,70
"Exercise, Low Incline DB Bench",Set,1,reps,7,weight,40
Instance of 'Loc'
"Exercise, Low Incline DB Bench",Set,2,reps,10,weight,30
"Exercise, Seated Hook Row",Set,1,reps,11,weight,50
Instance of 'Loc'
"Exercise, Seated Hook Row",Set,2,reps,10,weight,50
"Exercise, Machine Kelso Shrug",Set,1,reps,10,weight,50
Instance of 'Loc'
"Exercise, Machine Kelso Shrug",Set,2,reps,10,weight,50
"Exercise, Machine Bicep Curl",Set,1,reps,12,weight,30
Instance of 'Loc'
"Exercise, Machine Bicep Curl",Set,2,reps,11,weight,30
"Exercise, Smith Machine JM Press ",Set,1,reps,13,weight,30
Instance of 'Loc'
"Exercise, Smith Machine JM Press ",Set,2,reps,11,weight,30

"JP - Block 5: Week 1, Workout 2",2024-12-26,85.1,7,4,7,5
"Exercise, Smith Machine Squat",Set,1,reps,9,weight,77.5
Instance of 'Loc'
"Exercise, Smith Machine Squat",Set,2,reps,8,weight,77.5
"Exercise, Leg Press Calf Raise (Cable)",Set,1,reps,12,weight,85
Instance of 'Loc'
"Exercise, Leg Press Calf Raise (Cable)",Set,2,reps,11,weight,85
"Exercise, Romanian Deadlift",Set,1,reps,7,weight,140
Instance of 'Loc'
"Exercise, Romanian Deadlift",Set,2,reps,9,weight,120
Instance of 'Loc'
"Exercise, Leg Extension",Set,1,reps,12,weight,75
Instance of 'Loc'
"Exercise, Leg Extension",Set,2,reps,10,weight,75
"Exercise, Cable Lateral Raise",Set,1,reps,13,weight,10
Instance of 'Loc'
"Exercise, Cable Lateral Raise",Set,2,reps,12,weight,10

"JP - Block 5: Week 1, Workout 1",2024-12-24,85.1,8,7,5,5
"Exercise, Dumbbell Chest Press",Set,1,reps,8,weight,45
Instance of 'Loc'
"Exercise, Dumbbell Chest Press",Set,2,reps,7,weight,45
Instance of 'Loc'
"Exercise, Chin-Up",Set,1,reps,7,bodyweight,85.1,extraWeight,15
Instance of 'Loc'
"Exercise, Chin-Up",Set,2,reps,5,bodyweight,85.1,extraWeight,15
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,1,reps,12,weight,50
Instance of 'Loc'
"Exercise, Smith Machine Incline Bench Press",Set,2,reps,11,weight,50
"Exercise, Cable Flexion Row",Set,1,reps,11,weight,60
Instance of 'Loc'
"Exercise, Cable Flexion Row",Set,2,reps,10,weight,60
"Exercise, Machine Tricep Press",Set,1,reps,14,weight,55
Instance of 'Loc'
"Exercise, Machine Tricep Press",Set,2,reps,10,weight,55
"Exercise, Machine Tricep Press",Set,3,reps,9,weight,55
"Exercise, Cable Curl With Bar",Set,1,reps,9,weight,40
Instance of 'Loc'
"Exercise, Cable Curl With Bar",Set,2,reps,9,weight,40
"Exercise, Lean In Single Arm DB Lateral Raise",Set,1,reps,10,weight,6
Instance of 'Loc'
"Exercise, Lean In Single Arm DB Lateral Raise",Set,2,reps,9,weight,6
"Exercise, Machine Crunch",Set,1,reps,12,weight,22.5
Instance of 'Loc'
"Exercise, Machine Crunch",Set,2,reps,10,weight,27.5

"JP - Block 4: Week 5, Workout 4",2024-12-22,84.4,3,7,7,7
"Exercise, Deadlift",Set,1,reps,3,weight,195
Instance of 'Loc'
"Exercise, Deadlift",Set,2,reps,3,weight,205
Instance of 'Loc'
"Exercise, Deadlift",Set,3,reps,4,weight,165
Instance of 'Loc'
"Exercise, Leg Press",Set,1,reps,6,weight,190
Instance of 'Loc'
"Exercise, Leg Press",Set,2,reps,10,weight,150
Instance of 'Loc'
"Exercise, Leg Press",Set,3,reps,6,weight,150
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,1,reps,5,weight,80
Instance of 'Loc'
"Exercise, Seated Leg Curl",Set,2,reps,12,weight,50
"Exercise, Slight Incline Supine Cable Y Raises",Set,1,reps,9,weight,15
Instance of 'Loc'
"Exercise, Slight Incline Supine Cable Y Raises",Set,2,reps,15,weight,10
Instance of 'Loc'
"Exercise, Standing Calf Raise",Set,1,reps,12,weight,180
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,1,reps,8,weight,0
Instance of 'Loc'
"Exercise, Hack Squat Sissy Squat ",Set,2,reps,6,weight,0
"Exercise, Standing Cable Chest Fly",Set,1,reps,8,weight,35
Instance of 'Loc'

"JP - Block 4: Week 5, Workout 3",2024-12-21,84.4,7,7,6,7
"Exercise, Bench Press",Set,1,reps,3,weight,125
Instance of 'Loc'
"Exercise, Bench Press",Set,2,reps,3,weight,130
Instance of 'Loc'
"Exercise, Bench Press",Set,3,reps,8,weight,105
Instance of 'Loc'
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,1,reps,10,weight,95
Instance of 'Loc'
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,2,reps,9,weight,95
"Exercise, Close-Grip Pulldown [PARTIAL]",Set,3,reps,9,weight,95
